cid,rho,mu,eta,kappa,topo,seed,optJ,naiJ,dJ,ci_hi,converged,bestlib,bestlib_tag,P,X,T,het_driven,inversion
rho0.5_mu0.05_eta16_kap0.5_bridge_seed6,0.5,0.05,16,0.5,bridge,6,45.983333333333334,38.725,7.258333333333334,0.5370005987661719,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.5_bridge_seed7,0.5,0.05,16,0.5,bridge,7,51.21666666666667,31.95,19.266666666666666,1.114944493786969,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed0,0.5,0.05,16,0.5,sbm,0,9.433333333333334,15.991666666666667,-6.558333333333334,-0.19421215622091723,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed1,0.5,0.05,16,0.5,sbm,1,20.658333333333335,26.85,-6.191666666666666,0.03380060372606362,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed2,0.5,0.05,16,0.5,sbm,2,24.558333333333334,31.233333333333334,-6.675,0.038405854321546015,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed3,0.5,0.05,16,0.5,sbm,3,30.108333333333334,32.483333333333334,-2.375,0.23274979236301263,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed4,0.5,0.05,16,0.5,sbm,4,21.391666666666666,32.375,-10.983333333333333,-0.2160369639284493,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed5,0.5,0.05,16,0.5,sbm,5,10.291666666666666,24.258333333333333,-13.966666666666667,-0.44868982605705,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed6,0.5,0.05,16,0.5,sbm,6,36.0,42.38333333333333,-6.383333333333334,0.10581898159886043,True,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap0.5_sbm_seed7,0.5,0.05,16,0.5,sbm,7,9.208333333333334,22.458333333333332,-13.25,-0.4796451128545954,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed0,0.5,0.05,16,1.0,artic,0,12.208333333333334,45.43333333333333,-33.225,-0.6476525759520011,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed1,0.5,0.05,16,1.0,artic,1,23.433333333333334,56.90833333333333,-33.475,-0.4243914948166537,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed2,0.5,0.05,16,1.0,artic,2,22.091666666666665,43.0,-20.908333333333335,-0.2296166307615975,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed3,0.5,0.05,16,1.0,artic,3,17.15,58.141666666666666,-40.99166666666667,-0.5809876393797099,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed4,0.5,0.05,16,1.0,artic,4,20.7,38.46666666666667,-17.766666666666666,-0.2151587965511098,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed5,0.5,0.05,16,1.0,artic,5,14.783333333333333,43.34166666666667,-28.558333333333334,-0.5681750802955835,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed6,0.5,0.05,16,1.0,artic,6,32.6,46.708333333333336,-14.108333333333333,-0.032388517387388155,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_artic_seed7,0.5,0.05,16,1.0,artic,7,12.358333333333333,34.71666666666667,-22.358333333333334,-0.5350900891021443,True,burn_then_protect,P,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_bridge_seed0,0.5,0.05,16,1.0,bridge,0,98.73333333333333,55.55833333333333,43.175,1.3429181666866994,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_bridge_seed1,0.5,0.05,16,1.0,bridge,1,72.85833333333333,39.34166666666667,33.516666666666666,1.3475728653004315,False,delay8,T,1,0,1,0,0
rho0.5_mu0.05_eta16_kap1_bridge_seed2,0.5,0.05,16,1.0,bridge,2,94.64166666666667,41.11666666666667,53.525,2.0556071727130094,False,burn_then_protect,P,1,1,1,0,0
rho0.5_mu0.05_eta16_kap1_bridge_seed3,0.5,0.05,16,1.0,bridge,3,72.14166666666667,46.69166666666667,25.45,0.9427728939853562,False,delay8,T,1,0,1,0,0
